"country","date","month","year","value","min","based_value"
"Albania",Dec 2021,"12","2021",71.1993592775843,23.4068026875368,3.04182336340602
"Algeria",Jan 2021,"01","2021",2.36303497700378,2.36303497700378,1
"Algeria",Feb 2021,"02","2021",2.52210485783493,2.36303497700378,1.06731592311547
"Algeria",Mar 2021,"03","2021",2.63200272148895,2.36303497700378,1.11382300605055
"Algeria",Apr 2021,"04","2021",2.72235105863578,2.36303497700378,1.15205703052589
"Algeria",May 2021,"05","2021",2.86189021701814,2.36303497700378,1.21110785276944
"Algeria",Jun 2021,"06","2021",3.06384882719133,2.36303497700378,1.29657362544678
"Algeria",Jul 2021,"07","2021",3.48283987886725,2.36303497700378,1.47388418400955
"Algeria",Aug 2021,"08","2021",4.25847744190155,2.36303497700378,1.80212205208283
"Algeria",Sep 2021,"09","2021",4.57323823897796,2.36303497700378,1.93532397255356
"Algeria",Oct 2021,"10","2021",4.67729265391299,2.36303497700378,1.97935819800838
"Algeria",Nov 2021,"11","2021",4.75055823263618,2.36303497700378,2.01036306227666
"Algeria",Dec 2021,"12","2021",4.88191794088882,2.36303497700378,2.06595246722876
"Andorra",Jan 2021,"01","2021",116.576591245462,116.576591245462,1
"Andorra",Feb 2021,"02","2021",135.624150650359,116.576591245462,1.16339094496931
"Andorra",Mar 2021,"03","2021",147.11622964953,116.576591245462,1.26197059013129
"Andorra",Apr 2021,"04","2021",164.211048555836,116.576591245462,1.40861082659447
"Andorra",May 2021,"05","2021",174.829399448484,116.576591245462,1.49969558708716
"Andorra",Jun 2021,"06","2021",178.935697491318,116.576591245462,1.53491962305325
"Andorra",Jul 2021,"07","2021",184.642714745858,116.576591245462,1.58387471080773
"Andorra",Aug 2021,"08","2021",193.132975536643,116.576591245462,1.65670460487204
"Andorra",Sep 2021,"09","2021",195.642270109364,116.576591245462,1.67822946287237
"Andorra",Oct 2021,"10","2021",198.72704538006,116.576591245462,1.70469082392041
"Andorra",Nov 2021,"11","2021",207.571345369831,116.576591245462,1.78055768445632
"Andorra",Dec 2021,"12","2021",262.894562701052,116.576591245462,2.25512309025664
"Angola",Jan 2021,"01","2021",0.569550519091489,0.569550519091489,1
"Angola",Feb 2021,"02","2021",0.618858564305854,0.569550519091489,1.08657361122771
"Angola",Mar 2021,"03","2021",0.653964943533418,0.569550519091489,1.14821235625697
"Angola",Apr 2021,"04","2021",0.736389256810864,0.569550519091489,1.2929305340385
"Angola",May 2021,"05","2021",0.930660048796692,0.569550519091489,1.63402545972783
"Angola",Jun 2021,"06","2021",1.12551060964188,0.569550519091489,1.97613832647755
"Angola",Jul 2021,"07","2021",1.23763328093029,0.569550519091489,2.17300000516984
"Angola",Aug 2021,"08","2021",1.36879138562763,0.569550519091489,2.40328353630691
"Angola",Sep 2021,"09","2021",1.57452214126248,0.569550519091489,2.7644995281087
"Angola",Oct 2021,"10","2021",1.89365838162604,0.569550519091489,3.32482952459895
"Angola",Nov 2021,"11","2021",1.97436370526361,0.569550519091489,3.46652955108001
"Angola",Dec 2021,"12","2021",2.07384606749879,0.569550519091489,3.64119774801866
"Antigua and Barbuda",Jan 2021,"01","2021",1.89704878633677,1.89704878633677,1
"Antigua and Barbuda",Feb 2021,"02","2021",4.72541050567764,1.89704878633677,2.49092724431325
