"country","date","month","year","death_rate","min","based_dvalue"
"Afghanistan",Jan 2021,"01","2021",0.0595726521232701,0.0595726521232701,0
"Afghanistan",Feb 2021,"02","2021",0.06226091899766,0.0595726521232701,0.0451258552133489
"Afghanistan",Mar 2021,"03","2021",0.0631656890765257,0.0595726521232701,0.0603135302054498
"Afghanistan",Apr 2021,"04","2021",0.0653337200610047,0.0595726521232701,0.0967065882145657
"Afghanistan",May 2021,"05","2021",0.0707553167183311,0.0595726521232701,0.18771473480686
"Afghanistan",Jun 2021,"06","2021",0.0977933617395443,0.0595726521232701,0.641581468241273
"Afghanistan",Jul 2021,"07","2021",0.15286814369527,0.0595726521232701,1.56607920323824
"Afghanistan",Aug 2021,"08","2021",0.179665934754156,0.0595726521232701,2.01591297937155
"Afghanistan",Sep 2021,"09","2021",0.184257359781485,0.0595726521232701,2.09298567739124
"Afghanistan",Oct 2021,"10","2021",0.185971979775899,0.0595726521232701,2.12176767606515
"Afghanistan",Nov 2021,"11","2021",0.187409305044192,0.0595726521232701,2.14589494280693
"Afghanistan",Dec 2021,"12","2021",0.188360156090309,0.0595726521232701,2.16185614332809
"Albania",Jan 2021,"01","2021",0.442542354262553,0.442542354262553,0
"Albania",Feb 2021,"02","2021",0.546511223851553,0.442542354262553,0.234935410334346
"Albania",Mar 2021,"03","2021",0.715264124252621,0.442542354262553,0.616261398176292
"Albania",Apr 2021,"04","2021",0.809495679570042,0.442542354262553,0.829193684566025
"Albania",May 2021,"05","2021",0.843688839368783,0.442542354262553,0.90645896656535
"Albania",Jun 2021,"06","2021",0.852549401162925,0.442542354262553,0.926480918608578
"Albania",Jul 2021,"07","2021",0.853474540363495,0.442542354262553,0.928571428571429
"Albania",Aug 2021,"08","2021",0.858473879016005,0.442542354262553,0.939868287740628
"Albania",Sep 2021,"09","2021",0.894039428266963,0.442542354262553,1.02023471800068
"Albania",Oct 2021,"10","2021",0.977460380801643,0.442542354262553,1.20873860182371
"Albania",Nov 2021,"11","2021",1.04546296939792,0.442542354262553,1.36240206011483
"Albania",Dec 2021,"12","2021",1.09648051042575,0.442542354262553,1.47768490374873
"Algeria",Jan 2021,"01","2021",0.0645396058711321,0.0645396058711321,0
"Algeria",Feb 2021,"02","2021",0.0670313099996928,0.0645396058711321,0.0386073651198917
"Algeria",Mar 2021,"03","2021",0.0693800395300562,0.0645396058711321,0.0749994300955161
"Algeria",Apr 2021,"04","2021",0.0719808040445773,0.0645396058711321,0.115296616287111
"Algeria",May 2021,"05","2021",0.076910665573583,0.0645396058711321,0.191681674151412
"Algeria",Jun 2021,"06","2021",0.0820155330550899,0.0645396058711321,0.270778337550627
"Algeria",Jul 2021,"07","2021",0.0896811713971275,0.0645396058711321,0.389552510999157
"Algeria",Aug 2021,"08","2021",0.109649063682513,0.0645396058711321,0.69894225727768
"Algeria",Sep 2021,"09","2021",0.128002276555505,0.0645396058711321,0.983313576644554
"Algeria",Oct 2021,"10","2021",0.133820335592077,0.0645396058711321,1.07346068798869
"Algeria",Nov 2021,"11","2021",0.136661895742518,0.0645396058711321,1.11748884886893
"Algeria",Dec 2021,"12","2021",0.140740390216621,0.0645396058711321,1.18068251761005
"Andorra",Jan 2021,"01","2021",1.17108485042053,1.17108485042053,0
"Andorra",Feb 2021,"02","2021",1.38022205581903,1.17108485042053,0.178584160937102
"Andorra",Mar 2021,"03","2021",1.46082919487395,1.17108485042053,0.247415329768271
