Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
290506,5,1,1,2,2,5,1,1,1
290508,2,2,1,1,1,1,2,2,1
290510,7,1,1,1,2,4,2,1,1
290511,2,1,1,2,1,4,2,1,1
290516,4,1,2,2,1,5,1,2,1
290534,2,2,1,1,1,1,4,1,1
290537,2,1,1,1,1,5,2,1,1
290542,7,1,1,2,3,3,1,1,1
290543,2,1,4,2,2,5,5,1,1
290550,7,1,2,2,3,5,1,1,1
290553,3,1,4,2,4,1,1,1,1
290560,2,2,1,1,4,1,2,2,0
290562,4,1,1,2,3,5,1,1,0
290563,2,2,1,1,4,2,5,2,0
290564,6,1,1,2,1,3,2,1,1
290566,4,2,1,1,3,1,1,1,1
290567,7,1,1,2,3,4,2,1,1
290571,7,1,2,2,4,3,5,2,1
290579,4,1,1,2,2,4,4,1,1
290583,2,2,4,1,3,2,4,2,1
290595,6,1,1,1,3,3,1,1,1
290604,6,2,1,2,3,4,1,1,1
290605,4,1,1,2,2,3,2,1,1
290607,4,1,4,2,3,3,4,1,1
290613,7,1,1,2,3,4,3,1,1
290619,4,2,2,2,4,3,5,2,1
290621,2,2,1,1,2,1,1,1,1
290626,4,2,1,2,1,1,2,1,1
290627,6,1,1,2,2,3,3,1,1
290630,2,1,1,2,2,3,2,1,1
290636,5,1,4,2,3,2,2,1,1
290637,6,1,1,1,1,4,4,1,1
290643,3,1,1,1,3,4,5,2,1
290646,4,2,1,2,3,4,1,2,1
290648,2,1,1,1,1,4,1,1,1
290649,7,2,3,2,4,4,1,1,1
290651,1,1,4,2,2,5,2,2,0
290654,7,1,4,2,4,2,2,1,1
290659,7,2,2,2,2,4,5,1,0
290664,3,2,1,1,3,1,5,2,0
290665,2,1,1,1,3,3,5,2,1
290666,2,1,4,2,1,2,2,2,1
290669,2,1,1,2,3,4,2,2,1
290670,7,1,4,2,4,5,1,1,1
290673,7,2,3,2,2,3,5,1,1
290675,5,1,1,1,1,2,2,2,1
290677,3,2,1,1,1,1,1,1,1
290678,4,1,2,2,2,5,1,1,1
290681,4,1,1,1,1,5,3,1,1
290685,7,2,2,2,1,5,1,1,1
290687,2,2,4,2,1,2,2,1,1
290694,5,1,4,2,3,5,1,1,1
290697,3,1,1,1,1,5,1,1,1
290702,3,2,4,2,1,4,5,2,1
290706,3,1,4,2,1,5,1,1,1
290709,2,2,4,2,2,4,1,1,1
290710,6,1,3,2,1,4,3,1,1
290717,5,2,1,1,3,1,1,1,1
290724,4,2,1,1,2,3,1,1,1
290728,1,1,4,2,4,1,5,2,0
290729,2,2,4,2,2,3,1,1,0
290734,2,1,1,1,3,2,2,2,1
290735,7,1,3,2,4,2,1,1,0
290737,5,2,1,2,3,4,2,1,1
290742,6,1,1,1,2,1,2,1,0
290746,7,2,1,2,4,2,2,1,1
290747,3,1,1,1,4,3,5,2,1
290748,3,1,4,2,3,3,2,1,0
290756,4,2,1,2,3,2,5,2,1
290760,4,1,1,1,3,4,1,1,1
290763,1,2,4,2,3,3,4,1,1
290765,4,2,1,1,2,2,2,1,1
290769,7,1,1,2,2,4,2,1,1
290770,7,2,3,2,4,5,2,2,1
290775,3,1,1,1,4,5,4,1,1
290777,7,2,3,2,4,2,2,2,1
290783,7,1,3,2,2,4,1,1,0
290799,1,2,4,2,2,2,2,1,1
290802,7,1,2,2,4,5,3,1,1
290804,7,2,1,2,4,1,1,1,1
290805,3,2,1,1,1,2,1,1,1
290806,2,1,1,2,2,4,2,1,1
290810,2,2,4,2,1,4,2,1,1
290811,2,2,4,1,2,1,6,2,1
290812,5,2,1,2,2,3,1,1,1
290813,1,1,4,2,1,5,2,1,1
290814,2,2,4,2,4,2,5,2,1
290815,6,1,1,2,3,3,2,1,1
290817,1,1,4,2,3,2,2,2,0
290818,3,1,1,1,2,3,1,1,1
290819,5,1,1,2,4,1,5,2,1
290830,2,1,4,1,1,2,2,2,1
290835,7,2,2,2,4,3,1,1,1
290842,3,1,1,1,3,2,1,2,0
290843,2,1,2,2,3,1,2,1,1
290844,4,1,4,2,2,3,2,2,1
290846,7,2,1,2,4,2,1,1,0
290847,7,2,2,1,2,2,1,1,0
290848,2,1,4,2,2,4,1,1,1
290854,1,1,4,2,3,5,5,2,1
290855,3,1,1,1,1,4,1,1,1
290857,3,1,4,2,2,5,3,2,1
290863,2,2,1,2,2,4,6,1,1
290865,2,2,1,1,3,1,5,2,1
290869,7,1,2,2,3,2,2,2,1
290874,4,2,1,1,3,4,1,1,1
290876,2,1,1,1,2,4,2,1,1
290877,5,2,1,2,4,1,5,2,1
