Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
290506,55,1,1,2,2,5,1,1,1
290508,25,2,1,1,1,1,2,2,1
290510,65,1,1,1,2,4,2,1,1
290511,25,1,1,2,1,4,2,1,1
290516,45,1,2,2,1,5,1,2,1
290534,25,2,1,1,1,1,4,1,1
290537,25,1,1,1,1,5,2,1,1
290542,65,1,1,2,3,3,1,1,1
290543,25,1,4,2,2,5,5,1,1
290550,65,1,2,2,3,5,1,1,1
290553,35,1,4,2,4,1,1,1,1
290560,25,2,1,1,4,1,2,2,0
290562,45,1,1,2,3,5,1,1,0
290563,25,2,1,1,4,2,5,2,0
290564,60,1,1,2,1,3,2,1,1
290566,45,2,1,1,3,1,1,1,1
290567,65,1,1,2,3,4,2,1,1
290571,65,1,2,2,4,3,5,2,1
290579,45,1,1,2,2,4,4,1,1
290583,25,2,4,1,3,2,4,2,1
290595,60,1,1,1,3,3,1,1,1
290604,60,2,1,2,3,4,1,1,1
290605,45,1,1,2,2,3,2,1,1
290607,45,1,4,2,3,3,4,1,1
290613,65,1,1,2,3,4,3,1,1
290619,45,2,2,2,4,3,5,2,1
290621,25,2,1,1,2,1,1,1,1
290626,45,2,1,2,1,1,2,1,1
290627,60,1,1,2,2,3,3,1,1
290630,25,1,1,2,2,3,2,1,1
290636,55,1,4,2,3,2,2,1,1
290637,60,1,1,1,1,4,4,1,1
290643,35,1,1,1,3,4,5,2,1
290646,45,2,1,2,3,4,1,2,1
290648,25,1,1,1,1,4,1,1,1
290649,65,2,3,2,4,4,1,1,1
290651,18,1,4,2,2,5,2,2,0
290654,65,1,4,2,4,2,2,1,1
290659,65,2,2,2,2,4,5,1,0
290664,35,2,1,1,3,1,5,2,0
290665,25,1,1,1,3,3,5,2,1
290666,25,1,4,2,1,2,2,2,1
290669,25,1,1,2,3,4,2,2,1
290670,65,1,4,2,4,5,1,1,1
290673,65,2,3,2,2,3,5,1,1
290675,55,1,1,1,1,2,2,2,1
290677,35,2,1,1,1,1,1,1,1
290678,45,1,2,2,2,5,1,1,1
290681,45,1,1,1,1,5,3,1,1
290685,65,2,2,2,1,5,1,1,1
290687,25,2,4,2,1,2,2,1,1
290694,55,1,4,2,3,5,1,1,1
290697,35,1,1,1,1,5,1,1,1
290702,35,2,4,2,1,4,5,2,1
290706,35,1,4,2,1,5,1,1,1
290709,25,2,4,2,2,4,1,1,1
290710,60,1,3,2,1,4,3,1,1
290717,55,2,1,1,3,1,1,1,1
290724,45,2,1,1,2,3,1,1,1
290728,18,1,4,2,4,1,5,2,0
290729,25,2,4,2,2,3,1,1,0
290734,25,1,1,1,3,2,2,2,1
290735,65,1,3,2,4,2,1,1,0
290737,55,2,1,2,3,4,2,1,1
290742,60,1,1,1,2,1,2,1,0
290746,65,2,1,2,4,2,2,1,1
290747,35,1,1,1,4,3,5,2,1
290748,35,1,4,2,3,3,2,1,0
290756,45,2,1,2,3,2,5,2,1
290760,45,1,1,1,3,4,1,1,1
290763,18,2,4,2,3,3,4,1,1
290765,45,2,1,1,2,2,2,1,1
290769,65,1,1,2,2,4,2,1,1
290770,65,2,3,2,4,5,2,2,1
290775,35,1,1,1,4,5,4,1,1
290777,65,2,3,2,4,2,2,2,1
290783,65,1,3,2,2,4,1,1,0
290799,18,2,4,2,2,2,2,1,1
290802,65,1,2,2,4,5,3,1,1
290804,65,2,1,2,4,1,1,1,1
290805,35,2,1,1,1,2,1,1,1
290806,25,1,1,2,2,4,2,1,1
290810,25,2,4,2,1,4,2,1,1
290811,25,2,4,1,2,1,6,2,1
290812,55,2,1,2,2,3,1,1,1
290813,18,1,4,2,1,5,2,1,1
290814,25,2,4,2,4,2,5,2,1
290815,60,1,1,2,3,3,2,1,1
290817,18,1,4,2,3,2,2,2,0
290818,35,1,1,1,2,3,1,1,1
290819,55,1,1,2,4,1,5,2,1
290830,25,1,4,1,1,2,2,2,1
290835,65,2,2,2,4,3,1,1,1
290842,35,1,1,1,3,2,1,2,0
290843,25,1,2,2,3,1,2,1,1
290844,45,1,4,2,2,3,2,2,1
290846,65,2,1,2,4,2,1,1,0
290847,65,2,2,1,2,2,1,1,0
290848,25,1,4,2,2,4,1,1,1
290854,18,1,4,2,3,5,5,2,1
290855,35,1,1,1,1,4,1,1,1
290857,35,1,4,2,2,5,3,2,1
290863,25,2,1,2,2,4,6,1,1
290865,25,2,1,1,3,1,5,2,1
290869,65,1,2,2,3,2,2,2,1
290874,45,2,1,1,3,4,1,1,1
290876,25,1,1,1,2,4,2,1,1
290877,55,2,1,2,4,1,5,2,1
290881,35,2,1,1,2,2,2,2,1
290883,45,2,1,1,2,3,1,2,1
290885,45,2,2,2,1,2,5,2,1
290889,65,2,1,2,3,4,4,1,1
290890,45,2,4,1,3,1,2,1,0
290892,55,2,1,2,3,1,2,1,1
290893,35,2,1,2,1,3,2,1,1
290895,35,1,1,2,1,5,1,2,0
290896,45,1,4,2,4,1,2,2,1
290901,35,1,1,1,4,1,3,2,1
290902,65,2,1,2,3,2,1,1,1
290904,45,2,1,2,2,4,1,1,1
290905,45,1,1,1,2,1,4,1,1
290909,65,1,1,2,4,3,5,1,1
290913,65,1,2,2,4,4,2,1,1
290915,25,2,1,2,1,4,2,1,1
290918,65,1,1,2,4,4,1,1,1
290919,60,2,2,2,2,2,2,1,1
290920,35,1,1,1,1,4,1,1,1
290929,25,1,4,2,3,3,5,2,1
290933,35,2,1,1,2,1,1,1,1
290935,60,2,2,2,3,3,2,1,1
290939,65,1,1,2,1,5,3,1,1
290941,25,1,4,2,1,3,6,1,1
290942,35,1,1,1,1,5,1,1,1
290946,45,1,1,1,1,4,1,1,1
290951,35,2,1,2,1,4,3,1,1
290953,60,2,1,1,1,2,2,1,1
290954,65,1,2,2,4,5,1,1,1
