country,date,month,year,value1,value2,,initial_value,growth_rate
Andorra,01/07/2021,7,2021,0.184642715,0.184642715,0.031894235,0.116576591,0.583874711
Andorra,01/08/2021,8,2021,0.193132976,0.193132976,0.045982106,0.116576591,0.656704605
Andorra,01/09/2021,9,2021,0.19564227,0.19564227,0.012992574,0.116576591,0.678229463
Andorra,01/10/2021,10,2021,0.198727045,0.198727045,0.015767427,0.116576591,0.704690824
Andorra,01/11/2021,11,2021,0.207571345,0.207571345,0.044504763,0.116576591,0.780557684
Andorra,01/12/2021,12,2021,0.262894563,0.262894563,0.266526274,0.116576591,1.25512309
Angola,01/01/2021,1,2021,0.000569551,0.000569551,-0.99783354,0.000569551,0
Angola,01/02/2021,2,2021,0.000618859,0.000618859,0.086573611,0.000569551,0.086573611
Angola,01/03/2021,3,2021,0.000653965,0.000653965,0.056727629,0.000569551,0.148212356
Angola,01/04/2021,4,2021,0.000736389,0.000736389,0.126037816,0.000569551,0.292930534
Angola,01/05/2021,5,2021,0.00093066,0.00093066,0.263815353,0.000569551,0.63402546
Angola,01/06/2021,6,2021,0.001125511,0.001125511,0.209368137,0.000569551,0.976138326
Angola,01/07/2021,7,2021,0.001237633,0.001237633,0.099619382,0.000569551,1.173000005
Angola,01/08/2021,8,2021,0.001368791,0.001368791,0.105974934,0.000569551,1.403283536
Angola,01/09/2021,9,2021,0.001574522,0.001574522,0.15030103,0.000569551,1.764499528
Angola,01/10/2021,10,2021,0.001893658,0.001893658,0.20268768,0.000569551,2.324829525
Angola,01/11/2021,11,2021,0.001974364,0.001974364,0.042618734,0.000569551,2.466529551
Angola,01/12/2021,12,2021,0.002073846,0.002073846,0.05038705,0.000569551,2.641197748
Antigua and Barbuda,01/01/2021,1,2021,0.001897049,0.001897049,-0.085250918,0.001897049,0
Antigua and Barbuda,01/02/2021,2,2021,0.004725411,0.004725411,1.490927244,0.001897049,1.490927244
Antigua and Barbuda,01/03/2021,3,2021,0.009910178,0.009910178,1.097209878,0.001897049,4.223997222
Antigua and Barbuda,01/04/2021,4,2021,0.012278749,0.012278749,0.239003933,0.001897049,5.472553105
Antigua and Barbuda,01/05/2021,5,2021,0.012718693,0.012718693,0.035829675,0.001897049,5.70446258
Antigua and Barbuda,01/06/2021,6,2021,0.012895529,0.012895529,0.013903637,0.001897049,5.797678995
Antigua and Barbuda,01/07/2021,7,2021,0.013004946,0.013004946,0.008484931,0.001897049,5.855356833
Antigua and Barbuda,01/08/2021,8,2021,0.014749151,0.014749151,0.134118541,0.001897049,6.774787289
Antigua and Barbuda,01/09/2021,9,2021,0.024476486,0.024476486,0.659518332,0.001897049,11.90240204
Antigua and Barbuda,01/10/2021,10,2021,0.039054697,0.039054697,0.595600651,0.001897049,19.58708109
Antigua and Barbuda,01/11/2021,11,2021,0.042009436,0.042009436,0.075656413,0.001897049,21.1446258
Antigua and Barbuda,01/12/2021,12,2021,0.042798725,0.042798725,0.018788388,0.001897049,21.56068762
Argentina,01/01/2021,1,2021,0.039478754,0.039478754,-0.077571725,0.039478754,0
Argentina,01/02/2021,2,2021,0.044831818,0.044831818,0.135593541,0.039478754,0.135593541
Argentina,01/03/2021,3,2021,0.049043806,0.049043806,0.093950867,0.039478754,0.242283538
Argentina,01/04/2021,4,2021,0.058572399,0.058572399,0.194287372,0.039478754,0.483643543
Argentina,01/05/2021,5,2021,0.074104172,0.074104172,0.265172219,0.039478754,0.877064594
Argentina,01/06/2021,6,2021,0.092235636,0.092235636,0.244675353,0.039478754,1.336336036
Argentina,01/07/2021,7,2021,0.104481782,0.104481782,0.132770225,0.039478754,1.646531897
Argentina,01/08/2021,8,2021,0.112452698,0.112452698,0.076290008,0.039478754,1.848435837
Argentina,01/09/2021,9,2021,0.115718169,0.115718169,0.029038619,0.039478754,1.93115048
Argentina,01/10/2021,10,2021,0.11666305,0.11666305,0.008165363,0.039478754,1.955084389
Argentina,01/11/2021,11,2021,0.117462828,0.117462828,0.00685545,0.039478754,1.975342822
Argentina,01/12/2021,12,2021,0.119617413,0.119617413,0.018342695,0.039478754,2.029918628
Armenia,01/01/2021,1,2021,0.055258632,0.055258632,-0.538038559,0.055258632,0
Armenia,01/02/2021,2,2021,0.057142539,0.057142539,0.034092531,0.055258632,0.034092531
Armenia,01/03/2021,3,2021,0.060996293,0.060996293,0.067441077,0.055258632,0.103832846
Armenia,01/04/2021,4,2021,0.06947549,0.06947549,0.139011666,0.055258632,0.257278489
Armenia,01/05/2021,5,2021,0.0743737,0.0743737,0.070502714,0.055258632,0.345920034
Armenia,01/06/2021,6,2021,0.075556537,0.075556537,0.015903968,0.055258632,0.367325503
Armenia,01/07/2021,7,2021,0.076704959,0.076704959,0.0151995,0.055258632,0.388108167
Armenia,01/08/2021,8,2021,0.079450629,0.079450629,0.035795217,0.055258632,0.4377958
Armenia,01/09/2021,9,2021,0.084831989,0.084831989,0.067732117,0.055258632,0.535180753
Armenia,01/10/2021,10,2021,0.095256247,0.095256247,0.122881214,0.055258632,0.723825627
Armenia,01/11/2021,11,2021,0.110620761,0.110620761,0.16129666,0.055258632,1.001872944
Armenia,01/12/2021,12,2021,0.115679388,0.115679388,0.045729458,0.055258632,1.093417509
Australia,01/01/2021,1,2021,0.003876765,0.003876765,-0.966486982,0.003876765,0
Australia,01/02/2021,2,2021,0.003906754,0.003906754,0.007735473,0.003876765,0.007735473
Australia,01/03/2021,3,2021,0.003940594,0.003940594,0.008661868,0.003876765,0.016464345
Australia,01/04/2021,4,2021,0.003991112,0.003991112,0.012819874,0.003876765,0.02949529
Australia,01/05/2021,5,2021,0.004052181,0.004052181,0.015301375,0.003876765,0.045247983
Australia,01/06/2021,6,2021,0.00409865,0.00409865,0.01146764,0.003876765,0.057234511
Australia,01/07/2021,7,2021,0.004327912,0.004327912,0.055935908,0.003876765,0.116371882
Australia,01/08/2021,8,2021,0.005672861,0.005672861,0.310761657,0.003876765,0.463297458
Australia,01/09/2021,9,2021,0.0109845,0.0109845,0.936324493,0.003876765,1.833418709
Australia,01/10/2021,10,2021,0.019238614,0.019238614,0.751432879,0.003876765,3.962542688
Australia,01/11/2021,11,2021,0.026029488,0.026029488,0.352981425,0.003876765,5.714228079
Australia,01/12/2021,12,2021,0.035705727,0.035705727,0.371741458,0.003876765,8.210185014
Austria,01/01/2021,1,2021,0.042852405,0.042852405,0.200154951,0.042852405,0
Austria,01/02/2021,2,2021,0.047684143,0.047684143,0.112753007,0.042852405,0.112753007
Austria,01/03/2021,3,2021,0.054762685,0.054762685,0.148446456,0.042852405,0.277937247
Austria,01/04/2021,4,2021,0.064231498,0.064231498,0.172906304,0.042852405,0.498900654
Austria,01/05/2021,5,2021,0.069921443,0.069921443,0.088584959,0.042852405,0.631680706
Austria,01/06/2021,6,2021,0.071482594,0.071482594,0.022327212,0.042852405,0.668111588
Austria,01/07/2021,7,2021,0.07206695,0.07206695,0.008174797,0.042852405,0.68174806
Austria,01/08/2021,8,2021,0.073945323,0.073945323,0.026064291,0.042852405,0.725581631
Austria,01/09/2021,9,2021,0.078935098,0.078935098,0.067479244,0.042852405,0.842022576
Austria,01/10/2021,10,2021,0.085735667,0.085735667,0.086153929,0.042852405,1.000720057
Austria,01/11/2021,11,2021,0.108123209,0.108123209,0.261122852,0.042852405,1.523153785
Austria,01/12/2021,12,2021,0.136304524,0.136304524,0.26064076,0.042852405,2.180790505
Azerbaijan,01/01/2021,1,2021,0.02229129,0.02229129,-0.836459647,0.02229129,0
Azerbaijan,01/02/2021,2,2021,0.022903808,0.022903808,0.027477893,0.02229129,0.027477893
Azerbaijan,01/03/2021,3,2021,0.024055294,0.024055294,0.050274899,0.02229129,0.079134241
Azerbaijan,01/04/2021,4,2021,0.028983545,0.028983545,0.204871762,0.02229129,0.300218374
Azerbaijan,01/05/2021,5,2021,0.032450843,0.032450843,0.119629879,0.02229129,0.455763341
Azerbaijan,01/06/2021,6,2021,0.033062085,0.033062085,0.018835945,0.02229129,0.483184019
Azerbaijan,01/07/2021,7,2021,0.033396568,0.033396568,0.010116806,0.02229129,0.498189103
Azerbaijan,01/08/2021,8,2021,0.037079418,0.037079418,0.110276314,0.02229129,0.663403875
Azerbaijan,01/09/2021,9,2021,0.045571795,0.045571795,0.229032083,0.02229129,1.044376729
