"month","country","value","date"
"12","Armenia",0.116,2021-12-01
"01","Australia",0.004,2021-01-01
"02","Australia",0.004,2021-02-01
"03","Australia",0.004,2021-03-01
"04","Australia",0.004,2021-04-01
"05","Australia",0.004,2021-05-01
"06","Australia",0.004,2021-06-01
"07","Australia",0.004,2021-07-01
"08","Australia",0.006,2021-08-01
"09","Australia",0.011,2021-09-01
"10","Australia",0.019,2021-10-01
"11","Australia",0.026,2021-11-01
"12","Australia",0.036,2021-12-01
"01","Austria",0.043,2021-01-01
"02","Austria",0.048,2021-02-01
"03","Austria",0.055,2021-03-01
"04","Austria",0.064,2021-04-01
"05","Austria",0.07,2021-05-01
"06","Austria",0.071,2021-06-01
"07","Austria",0.072,2021-07-01
"08","Austria",0.074,2021-08-01
"09","Austria",0.079,2021-09-01
"10","Austria",0.086,2021-10-01
"11","Austria",0.108,2021-11-01
"12","Austria",0.136,2021-12-01
"01","Azerbaijan",0.022,2021-01-01
"02","Azerbaijan",0.023,2021-02-01
"03","Azerbaijan",0.024,2021-03-01
"04","Azerbaijan",0.029,2021-04-01
"05","Azerbaijan",0.032,2021-05-01
"06","Azerbaijan",0.033,2021-06-01
"07","Azerbaijan",0.033,2021-07-01
"08","Azerbaijan",0.037,2021-08-01
"09","Azerbaijan",0.046,2021-09-01
"10","Azerbaijan",0.05,2021-10-01
"11","Azerbaijan",0.055,2021-11-01
"12","Azerbaijan",0.06,2021-12-01
"01","Bahamas",0.02,2021-01-01
"02","Bahamas",0.021,2021-02-01
"03","Bahamas",0.022,2021-03-01
"04","Bahamas",0.025,2021-04-01
"05","Bahamas",0.028,2021-05-01
"06","Bahamas",0.031,2021-06-01
"07","Bahamas",0.034,2021-07-01
"08","Bahamas",0.042,2021-08-01
"09","Bahamas",0.05,2021-09-01
"10","Bahamas",0.055,2021-10-01
"11","Bahamas",0.057,2021-11-01
"12","Bahamas",0.059,2021-12-01
"01","Bahrain",0.057,2021-01-01
"02","Bahrain",0.066,2021-02-01
"03","Bahrain",0.078,2021-03-01
"04","Bahrain",0.095,2021-04-01
"05","Bahrain",0.12,2021-05-01
"06","Bahrain",0.152,2021-06-01
"07","Bahrain",0.157,2021-07-01
"08","Bahrain",0.159,2021-08-01
"09","Bahrain",0.161,2021-09-01
"10","Bahrain",0.162,2021-10-01
"11","Bahrain",0.163,2021-11-01
"12","Bahrain",0.164,2021-12-01
"01","Bangladesh",0.003,2021-01-01
"02","Bangladesh",0.003,2021-02-01
"03","Bangladesh",0.003,2021-03-01
"04","Bangladesh",0.004,2021-04-01
"05","Bangladesh",0.005,2021-05-01
"06","Bangladesh",0.005,2021-06-01
"07","Bangladesh",0.007,2021-07-01
