"month","year","country","value","date","log_value"
"08","2021","Algeria",4.25847744190155,Aug 2021,1.44891168839148
"09","2021","Algeria",4.57323823897796,Sep 2021,1.52022154018705
"10","2021","Algeria",4.67729265391299,Oct 2021,1.54271944978443
"11","2021","Algeria",4.75055823263618,Nov 2021,1.55826213380155
"12","2021","Algeria",4.88191794088882,Dec 2021,1.5855381633266
"01","2021","Andorra",116.576591245462,Jan 2021,4.75854849257302
"02","2021","Andorra",135.624150650359,Feb 2021,4.90988746178928
"03","2021","Andorra",147.11622964953,Mar 2021,4.99122295224561
"04","2021","Andorra",164.211048555836,Apr 2021,5.10115248194001
"05","2021","Andorra",174.829399448484,May 2021,5.16381063814379
"06","2021","Andorra",178.935697491318,Jun 2021,5.18702650940944
"07","2021","Andorra",184.642714745858,Jul 2021,5.21842268612466
"08","2021","Andorra",193.132975536643,Aug 2021,5.26337894407642
"09","2021","Andorra",195.642270109364,Sep 2021,5.27628783910703
"10","2021","Andorra",198.72704538006,Oct 2021,5.29193225192129
"11","2021","Andorra",207.571345369831,Nov 2021,5.33547511368132
"12","2021","Andorra",262.894562701052,Dec 2021,5.57175304951759
"01","2021","Angola",0.569550519091489,Jan 2021,-0.562907792230277
"02","2021","Angola",0.618858564305854,Feb 2021,-0.479878523026091
"03","2021","Angola",0.653964943533418,Mar 2021,-0.42470153212155
"04","2021","Angola",0.736389256810864,Apr 2021,-0.305996418525309
"05","2021","Angola",0.930660048796692,May 2021,-0.0718612146850726
"06","2021","Angola",1.12551060964188,Jun 2021,0.118236807923398
"07","2021","Angola",1.23763328093029,Jul 2021,0.21320091142314
"08","2021","Angola",1.36879138562763,Aug 2021,0.313928150200554
"09","2021","Angola",1.57452214126248,Sep 2021,0.453951823868759
"10","2021","Angola",1.89365838162604,Oct 2021,0.63851060976584
"11","2021","Angola",1.97436370526361,Nov 2021,0.680246171893642
"12","2021","Angola",2.07384606749879,Dec 2021,0.729404886946228
"01","2021","Antigua and Barbuda",1.89704878633677,Jan 2021,0.640299408248315
"02","2021","Antigua and Barbuda",4.72541050567764,Feb 2021,1.5529544366804
"03","2021","Antigua and Barbuda",9.9101775893283,Mar 2021,2.29356226839609
"04","2021","Antigua and Barbuda",12.2787490128802,Apr 2021,2.50787004561441
"05","2021","Antigua and Barbuda",12.7186926010156,May 2021,2.54307276969042
"06","2021","Antigua and Barbuda",12.8955286877434,Jun 2021,2.55688063793011
"07","2021","Antigua and Barbuda",13.0049463595374,Jul 2021,2.56532977428906
"08","2021","Antigua and Barbuda",14.7491507914966,Aug 2021,2.69118550767055
"09","2021","Antigua and Barbuda",24.4764861258612,Sep 2021,3.19771290673094
"10","2021","Antigua and Barbuda",39.0546971968872,Oct 2021,3.66496315578389
"11","2021","Antigua and Barbuda",42.0094355036353,Nov 2021,3.73789424790071
"12","2021","Antigua and Barbuda",42.7987250672647,Dec 2021,3.75650831399605
"01","2021","Argentina",39.4787541265622,Jan 2021,3.67576265698939
"02","2021","Argentina",44.8318181838727,Feb 2021,3.80291811464746
"03","2021","Argentina",49.0438063601356,Mar 2021,3.89271390607378
"04","2021","Argentina",58.5723986262404,Apr 2021,4.07026357241731
"05","2021","Argentina",74.1041715668087,May 2021,4.30547182716562
"06","2021","Argentina",92.2356359385819,Jun 2021,4.52434656281404
"07","2021","Argentina",104.481782060759,Jul 2021,4.64901272186006
"08","2021","Argentina",112.45269805885,Aug 2021,4.72253267152656
"09","2021","Argentina",115.718169125993,Sep 2021,4.75115765839612
"10","2021","Argentina",116.66305003559,Oct 2021,4.75928986563991
"11","2021","Argentina",117.462827703276,Nov 2021,4.76612192355972
"12","2021","Argentina",119.617412556616,Dec 2021,4.7842984208576
