"country","date","month","year","value","min","max","normalised_value"
"Australia",Oct 2021,"10","2021",19.2386141367006,3.87676547021971,35.705727238066,0.482637441287812
"Australia",Nov 2021,"11","2021",26.0294875774402,3.87676547021971,35.705727238066,0.695992607889561
"Australia",Dec 2021,"12","2021",35.705727238066,3.87676547021971,35.705727238066,1
"Austria",Jan 2021,"01","2021",42.8524053146436,42.8524053146436,136.304523951427,0
"Austria",Feb 2021,"02","2021",47.6841428634876,42.8524053146436,136.304523951427,0.0517028144393735
"Austria",Mar 2021,"03","2021",54.7626848864463,42.8524053146436,136.304523951427,0.127447935322836
"Austria",Apr 2021,"04","2021",64.2314983419198,42.8524053146436,136.304523951427,0.228770554794691
"Austria",May 2021,"05","2021",69.9214429595585,42.8524053146436,136.304523951427,0.289656757276131
"Austria",Jun 2021,"06","2021",71.4825938591816,42.8524053146436,136.304523951427,0.306362113156727
"Austria",Jul 2021,"07","2021",72.066949524066,42.8524053146436,136.304523951427,0.312615108523858
"Austria",Aug 2021,"08","2021",73.9453234689024,42.8524053146436,136.304523951427,0.332714962569297
"Austria",Sep 2021,"09","2021",78.9350980043821,42.8524053146436,136.304523951427,0.386108878173
"Austria",Oct 2021,"10","2021",85.7356668233056,42.8524053146436,136.304523951427,0.458879500371038
"Austria",Nov 2021,"11","2021",108.123208681234,42.8524053146436,136.304523951427,0.698441130267749
"Austria",Dec 2021,"12","2021",136.304523951427,42.8524053146436,136.304523951427,1
"Azerbaijan",Jan 2021,"01","2021",22.2912900036325,22.2912900036325,59.8035295389322,0
"Azerbaijan",Feb 2021,"02","2021",22.9038076851139,22.2912900036325,59.8035295389322,0.0163284754274657
"Azerbaijan",Mar 2021,"03","2021",24.0552943123753,22.2912900036325,59.8035295389322,0.0470247665987202
"Azerbaijan",Apr 2021,"04","2021",28.9835448479125,22.2912900036325,59.8035295389322,0.178401901011068
"Azerbaijan",May 2021,"05","2021",32.4508428144843,22.2912900036325,59.8035295389322,0.270833011750509
"Azerbaijan",Jun 2021,"06","2021",33.0620850973246,22.2912900036325,59.8035295389322,0.287127487644576
"Azerbaijan",Jul 2021,"07","2021",33.3965677839953,22.2912900036325,59.8035295389322,0.296044115678897
"Azerbaijan",Aug 2021,"08","2021",37.0794181654246,22.2912900036325,59.8035295389322,0.394221415329688
"Azerbaijan",Sep 2021,"09","2021",45.5717945493593,22.2912900036325,59.8035295389322,0.620610894847251
"Azerbaijan",Oct 2021,"10","2021",49.6302102584061,22.2912900036325,59.8035295389322,0.728800002171214
"Azerbaijan",Nov 2021,"11","2021",55.4732313033358,22.2912900036325,59.8035295389322,0.884563057571609
"Azerbaijan",Dec 2021,"12","2021",59.8035295389322,22.2912900036325,59.8035295389322,1
"Bahamas",Jan 2021,"01","2021",20.4399456371946,20.4399456371946,58.9261245960851,0
"Bahamas",Feb 2021,"02","2021",21.2461347546586,20.4399456371946,58.9261245960851,0.0209474969787264
"Bahamas",Mar 2021,"03","2021",22.295378242803,20.4399456371946,58.9261245960851,0.048210361636326
"Bahamas",Apr 2021,"04","2021",24.5510890498278,20.4399456371946,58.9261245960851,0.106821293353766
"Bahamas",May 2021,"05","2021",28.3249805097136,20.4399456371946,58.9261245960851,0.20487964993723
"Bahamas",Jun 2021,"06","2021",31.0338514118317,20.4399456371946,58.9261245960851,0.275265200682904
"Bahamas",Jul 2021,"07","2021",34.2731271606656,20.4399456371946,58.9261245960851,0.359432448158781
"Bahamas",Aug 2021,"08","2021",41.9720363608682,20.4399456371946,58.9261245960851,0.559475928921741
"Bahamas",Sep 2021,"09","2021",50.1938556161337,20.4399456371946,58.9261245960851,0.773106366592565
"Bahamas",Oct 2021,"10","2021",55.4301775256655,20.4399456371946,58.9261245960851,0.909163570793716
"Bahamas",Nov 2021,"11","2021",57.4743334147069,20.4399456371946,58.9261245960851,0.962277596252697
"Bahamas",Dec 2021,"12","2021",58.9261245960851,20.4399456371946,58.9261245960851,1
"Bahrain",Jan 2021,"01","2021",57.3040402055975,57.3040402055975,163.818954695185,0
"Bahrain",Feb 2021,"02","2021",66.4298437732058,57.3040402055975,163.818954695185,0.0856762981159824
"Bahrain",Mar 2021,"03","2021",78.0965383031471,57.3040402055975,163.818954695185,0.195207386657407
"Bahrain",Apr 2021,"04","2021",94.7738860421933,57.3040402055975,163.818954695185,0.351780274303827
"Bahrain",May 2021,"05","2021",120.163362870851,57.3040402055975,163.818954695185,0.590145736552211
"Bahrain",Jun 2021,"06","2021",151.835829734234,57.3040402055975,163.818954695185,0.88749814973449
"Bahrain",Jul 2021,"07","2021",157.299977574961,57.3040402055975,163.818954695185,0.938797518155443
"Bahrain",Aug 2021,"08","2021",159.242836362262,57.3040402055975,163.818954695185,0.957037769265914
"Bahrain",Sep 2021,"09","2021",160.997808119459,57.3040402055975,163.818954695185,0.973514069938049
"Bahrain",Oct 2021,"10","2021",162.220898175784,57.3040402055975,163.818954695185,0.984996875535613
"Bahrain",Nov 2021,"11","2021",162.946013604195,57.3040402055975,163.818954695185,0.991804517750654
"Bahrain",Dec 2021,"12","2021",163.818954695185,57.3040402055975,163.818954695185,1
"Bangladesh",Jan 2021,"01","2021",3.19494477595418,3.19494477595418,9.5971437176333,0
"Bangladesh",Feb 2021,"02","2021",3.28447076813515,3.19494477595418,9.5971437176333,0.0139836317172438
"Bangladesh",Mar 2021,"03","2021",3.44407652987368,3.19494477595418,9.5971437176333,0.038913466480652
"Bangladesh",Apr 2021,"04","2021",4.25706252114625,3.19494477595418,9.5971437176333,0.165898897373767
"Bangladesh",May 2021,"05","2021",4.74237006522758,3.19494477595418,9.5971437176333,0.241702156301246
"Bangladesh",Jun 2021,"06","2021",5.11868697692553,3.19494477595418,9.5971437176333,0.300481478082091
"Bangladesh",Jul 2021,"07","2021",6.54888740342449,3.19494477595418,9.5971437176333,0.523873540641751
"Bangladesh",Aug 2021,"08","2021",8.57040518474396,3.19494477595418,9.5971437176333,0.839627205864356
"Bangladesh",Sep 2021,"09","2021",9.31805543287511,3.19494477595418,9.5971437176333,0.956407433242773
"Bangladesh",Oct 2021,"10","2021",9.49922898970556,3.19494477595418,9.5971437176333,0.984706078517757
"Bangladesh",Nov 2021,"11","2021",9.55094557208544,3.19494477595418,9.5971437176333,0.992784019058342
"Bangladesh",Dec 2021,"12","2021",9.5971437176333,3.19494477595418,9.5971437176333,1
"Barbados",Jan 2021,"01","2021",3.63046487843465,3.63046487843465,93.8878493699445,0
"Barbados",Feb 2021,"02","2021",7.86427400716943,3.63046487843465,93.8878493699445,0.0469081743570027
"Barbados",Mar 2021,"03","2021",11.9529649264225,3.63046487843465,93.8878493699445,0.0922085222707815
"Barbados",Apr 2021,"04","2021",13.0717202965273,3.63046487843465,93.8878493699445,0.104603689451922
"Barbados",May 2021,"05","2021",13.7812186359972,3.63046487843465,93.8878493699445,0.112464523703514
"Barbados",Jun 2021,"06","2021",14.0720531995226,3.63046487843465,93.8878493699445,0.115686803688291
"Barbados",Jul 2021,"07","2021",14.7232401949554,3.63046487843465,93.8878493699445,0.122901581726691
"Barbados",Aug 2021,"08","2021",16.0113356893601,3.63046487843465,93.8878493699445,0.137172940260528
"Barbados",Sep 2021,"09","2021",22.1776031680302,3.63046487843465,93.8878493699445,0.205491643637648
"Barbados",Oct 2021,"10","2021",44.7653314513856,3.63046487843465,93.8878493699445,0.455750704551164
"Barbados",Nov 2021,"11","2021",77.3255942086478,3.63046487843465,93.8878493699445,0.816499721827696
"Barbados",Dec 2021,"12","2021",93.8878493699445,3.63046487843465,93.8878493699445,1
"Belarus",Jan 2021,"01","2021",23.5825819756546,23.5825819756546,71.883741528846,0
"Belarus",Feb 2021,"02","2021",28.4250053522364,23.5825819756546,71.883741528846,0.100254805917219
"Belarus",Mar 2021,"03","2021",32.2662371463584,23.5825819756546,71.883741528846,0.179781505268854
"Belarus",Apr 2021,"04","2021",36.0855522493803,23.5825819756546,71.883741528846,0.258854453793328
"Belarus",May 2021,"05","2021",39.8864330757119,23.5825819756546,71.883741528846,0.337545749436984
"Belarus",Jun 2021,"06","2021",43.0588892753952,23.5825819756546,71.883741528846,0.403226495593598
"Belarus",Jul 2021,"07","2021",45.7341002118975,23.5825819756546,71.883741528846,0.458612555912837
"Belarus",Aug 2021,"08","2021",48.9849840755412,23.5825819756546,71.883741528846,0.525917024246848
"Belarus",Sep 2021,"09","2021",53.9795610711076,23.5825819756546,71.883741528846,0.62932193298545
"Belarus",Oct 2021,"10","2021",60.3203471001403,23.5825819756546,71.883741528846,0.760597995251614
"Belarus",Nov 2021,"11","2021",66.623619481936,23.5825819756546,71.883741528846,0.891097396096312
"Belarus",Dec 2021,"12","2021",71.883741528846,23.5825819756546,71.883741528846,1
"Belgium",Jan 2021,"01","2021",820.534270797863,820.534270797863,2381.27334512173,0
"Belgium",Feb 2021,"02","2021",897.63172576415,820.534270797863,2381.27334512173,0.049398042398398
"Belgium",Mar 2021,"03","2021",994.079430390382,820.534270797863,2381.27334512173,0.111194217180538
