"country","date","month","year","covid_rate","death_rate"
"Australia",Jul 2021,"07","2021",4.328,0.124
"Australia",Jun 2021,"06","2021",4.099,0.123
"Australia",Mar 2021,"03","2021",3.941,0.123
"Australia",May 2021,"05","2021",4.052,0.123
"Australia",Nov 2021,"11","2021",26.029,0.257
"Australia",Oct 2021,"10","2021",19.239,0.207
"Australia",Sep 2021,"09","2021",10.984,0.154
"Austria",Apr 2021,"04","2021",64.231,1.328
"Austria",Aug 2021,"08","2021",73.945,1.463
"Austria",Dec 2021,"12","2021",136.305,1.809
"Austria",Feb 2021,"02","2021",47.684,1.108
"Austria",Jan 2021,"01","2021",42.852,0.946
"Austria",Jul 2021,"07","2021",72.067,1.455
"Austria",Jun 2021,"06","2021",71.483,1.445
"Austria",Mar 2021,"03","2021",54.763,1.212
"Austria",May 2021,"05","2021",69.921,1.413
"Austria",Nov 2021,"11","2021",108.123,1.617
"Austria",Oct 2021,"10","2021",85.736,1.521
"Austria",Sep 2021,"09","2021",78.935,1.482
"Azerbaijan",Apr 2021,"04","2021",28.984,0.4
"Azerbaijan",Aug 2021,"08","2021",37.079,0.516
"Azerbaijan",Dec 2021,"12","2021",59.804,0.803
"Azerbaijan",Feb 2021,"02","2021",22.904,0.314
"Azerbaijan",Jan 2021,"01","2021",22.291,0.292
"Azerbaijan",Jul 2021,"07","2021",33.397,0.492
"Azerbaijan",Jun 2021,"06","2021",33.062,0.489
"Azerbaijan",Mar 2021,"03","2021",24.055,0.329
"Azerbaijan",May 2021,"05","2021",32.451,0.47
"Azerbaijan",Nov 2021,"11","2021",55.473,0.738
"Azerbaijan",Oct 2021,"10","2021",49.63,0.668
"Azerbaijan",Sep 2021,"09","2021",45.572,0.607
"Bahamas",Apr 2021,"04","2021",24.551,0.489
"Bahamas",Aug 2021,"08","2021",41.972,0.811
"Bahamas",Dec 2021,"12","2021",58.926,1.799
"Bahamas",Feb 2021,"02","2021",21.246,0.452
"Bahamas",Jan 2021,"01","2021",20.44,0.445
"Bahamas",Jul 2021,"07","2021",34.273,0.673
"Bahamas",Jun 2021,"06","2021",31.034,0.606
"Bahamas",Mar 2021,"03","2021",22.295,0.471
"Bahamas",May 2021,"05","2021",28.325,0.555
"Bahamas",Nov 2021,"11","2021",57.474,1.689
"Bahamas",Oct 2021,"10","2021",55.43,1.535
"Bahamas",Sep 2021,"09","2021",50.194,1.211
"Bahrain",Apr 2021,"04","2021",94.774,0.342
"Bahrain",Aug 2021,"08","2021",159.243,0.814
"Bahrain",Dec 2021,"12","2021",163.819,0.819
"Bahrain",Feb 2021,"02","2021",66.43,0.239
"Bahrain",Jan 2021,"01","2021",57.304,0.212
"Bahrain",Jul 2021,"07","2021",157.3,0.808
"Bahrain",Jun 2021,"06","2021",151.836,0.723
"Bahrain",Mar 2021,"03","2021",78.097,0.287
"Bahrain",May 2021,"05","2021",120.163,0.451
"Bahrain",Nov 2021,"11","2021",162.946,0.819
"Bahrain",Oct 2021,"10","2021",162.221,0.818
"Bahrain",Sep 2021,"09","2021",160.998,0.816
"Bangladesh",Apr 2021,"04","2021",4.257,0.062
"Bangladesh",Aug 2021,"08","2021",8.57,0.146
"Bangladesh",Dec 2021,"12","2021",9.597,0.17
"Bangladesh",Feb 2021,"02","2021",3.284,0.05
"Bangladesh",Jan 2021,"01","2021",3.195,0.048
"Bangladesh",Jul 2021,"07","2021",6.549,0.106
"Bangladesh",Jun 2021,"06","2021",5.119,0.081
"Bangladesh",Mar 2021,"03","2021",3.444,0.052
"Bangladesh",May 2021,"05","2021",4.742,0.074
"Bangladesh",Nov 2021,"11","2021",9.551,0.17
"Bangladesh",Oct 2021,"10","2021",9.499,0.168
"Bangladesh",Sep 2021,"09","2021",9.318,0.164
"Barbados",Apr 2021,"04","2021",13.072,0.152
"Barbados",Aug 2021,"08","2021",16.011,0.167
"Barbados",Dec 2021,"12","2021",93.888,0.873
"Barbados",Feb 2021,"02","2021",7.864,0.084
"Barbados",Jan 2021,"01","2021",3.63,0.029
"Barbados",Jul 2021,"07","2021",14.723,0.166
"Barbados",Jun 2021,"06","2021",14.072,0.164
"Barbados",Mar 2021,"03","2021",11.953,0.134
"Barbados",May 2021,"05","2021",13.781,0.16
"Barbados",Nov 2021,"11","2021",77.326,0.683
"Barbados",Oct 2021,"10","2021",44.765,0.393
"Barbados",Sep 2021,"09","2021",22.178,0.199
"Belarus",Apr 2021,"04","2021",36.086,0.254
"Belarus",Aug 2021,"08","2021",48.985,0.383
"Belarus",Dec 2021,"12","2021",71.884,0.565
"Belarus",Feb 2021,"02","2021",28.425,0.196
"Belarus",Jan 2021,"01","2021",23.583,0.167
"Belarus",Jul 2021,"07","2021",45.734,0.35
"Belarus",Jun 2021,"06","2021",43.059,0.318
"Belarus",Mar 2021,"03","2021",32.266,0.224
"Belarus",May 2021,"05","2021",39.886,0.286
"Belarus",Nov 2021,"11","2021",66.624,0.515
"Belarus",Oct 2021,"10","2021",60.32,0.464
"Belarus",Sep 2021,"09","2021",53.98,0.419
"Belgium",Apr 2021,"04","2021",1139.776,28.663
"Belgium",Aug 2021,"08","2021",1400.01,30.674
"Belgium",Dec 2021,"12","2021",2381.273,33.634
"Belgium",Feb 2021,"02","2021",897.632,26.254
"Belgium",Jan 2021,"01","2021",820.534,24.7
"Belgium",Jul 2021,"07","2021",1337.418,30.559
"Belgium",Jun 2021,"06","2021",1304.853,30.421
"Belgium",Mar 2021,"03","2021",994.079,27.329
"Belgium",May 2021,"05","2021",1249.552,29.911
"Belgium",Nov 2021,"11","2021",1863.303,32.059
"Belgium",Oct 2021,"10","2021",1565.403,31.245
"Belgium",Sep 2021,"09","2021",1473.394,30.896
"Belize",Apr 2021,"04","2021",31.535,0.802
"Belize",Aug 2021,"08","2021",37.974,0.873
"Belize",Dec 2021,"12","2021",78.598,1.48
"Belize",Feb 2021,"02","2021",30.557,0.783
"Belize",Jan 2021,"01","2021",28.824,0.702
"Belize",Jul 2021,"07","2021",34.449,0.835
"Belize",Jun 2021,"06","2021",32.683,0.822
"Belize",Mar 2021,"03","2021",31.132,0.795
"Belize",May 2021,"05","2021",32.018,0.813
"Belize",Nov 2021,"11","2021",72.956,1.359
"Belize",Oct 2021,"10","2021",60.118,1.142
"Belize",Sep 2021,"09","2021",46.018,0.968
"Benin",Apr 2021,"04","2021",0.625,0.008
"Benin",Aug 2021,"08","2021",0.842,0.01
"Benin",Dec 2021,"12","2021",2.054,0.013
"Benin",Feb 2021,"02","2021",0.394,0.005
"Benin",Jan 2021,"01","2021",0.287,0.004
"Benin",Jul 2021,"07","2021",0.682,0.009
"Benin",Jun 2021,"06","2021",0.67,0.008
"Benin",Mar 2021,"03","2021",0.541,0.007
"Benin",May 2021,"05","2021",0.658,0.008
"Benin",Nov 2021,"11","2021",2.048,0.013
"Benin",Oct 2021,"10","2021",2.016,0.013
"Benin",Sep 2021,"09","2021",1.681,0.012
"Bhutan",Apr 2021,"04","2021",1.239,0.001
"Bhutan",Aug 2021,"08","2021",3.327,0.003
"Bhutan",Dec 2021,"12","2021",3.437,0.004
"Bhutan",Feb 2021,"02","2021",1.119,0.001
"Bhutan",Jan 2021,"01","2021",1.057,0.001
"Bhutan",Jul 2021,"07","2021",3.054,0.002
"Bhutan",Jun 2021,"06","2021",2.403,0.001
"Bhutan",Mar 2021,"03","2021",1.126,0.001
"Bhutan",May 2021,"05","2021",1.705,0.001
"Bhutan",Nov 2021,"11","2021",3.406,0.004
"Bhutan",Oct 2021,"10","2021",3.389,0.004
"Bhutan",Sep 2021,"09","2021",3.366,0.004
"Bolivia",Apr 2021,"04","2021",24.614,1.079
"Bolivia",Aug 2021,"08","2021",41.362,1.556
"Bolivia",Dec 2021,"12","2021",48.067,1.661
"Bolivia",Feb 2021,"02","2021",20.204,0.955
"Bolivia",Jan 2021,"01","2021",15.968,0.828
"Bolivia",Jul 2021,"07","2021",39.32,1.487
"Bolivia",Jun 2021,"06","2021",35.13,1.349
"Bolivia",Mar 2021,"03","2021",22.366,1.026
"Bolivia",May 2021,"05","2021",28.638,1.166
"Bolivia",Nov 2021,"11","2021",44.983,1.631
"Bolivia",Oct 2021,"10","2021",43.396,1.614
"Bolivia",Sep 2021,"09","2021",42.485,1.594
"Bosnia and Herzegovina",Apr 2021,"04","2021",56.928,2.337
"Bosnia and Herzegovina",Aug 2021,"08","2021",63.535,2.963
"Bosnia and Herzegovina",Dec 2021,"12","2021",86.363,3.978
"Bosnia and Herzegovina",Feb 2021,"02","2021",38.485,1.495
"Bosnia and Herzegovina",Jan 2021,"01","2021",35.712,1.347
"Bosnia and Herzegovina",Jul 2021,"07","2021",62.569,2.948
"Bosnia and Herzegovina",Jun 2021,"06","2021",62.382,2.906
"Bosnia and Herzegovina",Mar 2021,"03","2021",45.074,1.734
"Bosnia and Herzegovina",May 2021,"05","2021",61.555,2.734
"Bosnia and Herzegovina",Nov 2021,"11","2021",80.82,3.682
"Bosnia and Herzegovina",Oct 2021,"10","2021",74.428,3.384
